timestamp,pitch_hz,confidence,voiced
10.7920,653.49,0.6519,false
10.8080,653.49,0.4958,false
10.8240,653.47,0.5351,false
10.8400,653.40,0.7262,false
10.8560,653.38,0.7943,false
10.8720,653.39,0.8049,false
10.8880,653.41,0.8479,false
10.9040,653.45,0.8633,false
10.9200,653.45,0.9113,true
10.9360,653.43,0.9475,true
10.9520,653.46,0.9310,true
10.9680,653.51,0.9203,true
10.9840,653.54,0.9398,true
11.0000,653.50,0.9045,true
11.0160,653.44,0.8401,false
11.0320,653.46,0.8633,false
11.0480,653.44,0.8488,false
11.0640,653.44,0.8691,false
11.0800,653.45,0.8001,false
11.0960,653.46,0.8490,false
11.1120,653.49,0.9001,true
11.1280,653.44,0.8917,false
11.1440,653.41,0.9270,true
11.1600,653.40,0.9443,true
11.1760,653.41,0.9408,true
11.1920,653.42,0.9107,true
11.2080,653.46,0.8818,false
11.2240,653.55,0.8912,false
11.2400,653.55,0.7828,false
11.2560,653.43,0.7179,false
11.2720,653.39,0.6982,false
11.2880,653.36,0.6355,false
11.3040,653.31,0.6627,false
11.3200,653.36,0.6529,false
11.3360,653.40,0.8116,false
11.3520,653.47,0.8075,false
11.3680,653.50,0.7256,false
11.3840,653.46,0.7558,false
11.4000,653.44,0.8721,false
11.4160,653.48,0.8978,false
11.4320,653.56,0.9081,true
11.4480,653.59,0.9407,true
11.4640,653.73,0.9635,true
11.4800,654.17,0.9686,true
11.4960,654.17,0.9683,true
11.5120,653.84,0.9791,true
11.5280,653.71,0.9894,true
11.5440,653.70,0.9903,true
11.5600,653.90,0.9830,true
11.5760,654.11,0.9749,true
11.5920,654.23,0.9739,true
11.6080,654.23,0.9617,true
11.6240,654.27,0.8901,false
11.6400,654.38,0.7947,false
11.6560,654.38,0.7514,false
11.6720,653.96,0.6487,false
11.6880,653.37,0.4662,false
11.7040,1976.80,0.5793,false
11.7200,1976.79,0.5158,false
11.7360,653.22,0.4416,false
11.7520,652.95,0.4768,false
11.7680,652.86,0.6346,false
11.7840,652.47,0.5993,false
11.8000,651.67,0.4366,false
11.8160,649.26,0.1963,false
11.8320,190.68,0.3136,false
11.8480,190.41,0.3617,false
11.8640,189.75,0.3765,false
11.8800,189.15,0.2950,false
11.8960,327.40,0.1667,false
11.9120,327.74,0.1617,false
11.9280,652.54,0.1701,false
11.9440,330.30,0.1491,false
11.9600,329.54,0.1508,false
11.9760,101.53,0.3609,false
11.9920,101.17,0.3929,false
12.0080,101.27,0.4035,false
12.0240,100.18,0.3753,false
12.0400,99.86,0.3498,false
12.0560,101.81,0.3844,false
12.0720,102.06,0.4147,false
12.0880,101.67,0.4001,false
